Date Time,Milk (oz)
2/19/2025 6:30 AM,0.68
2/19/2025 7:30 AM,0.68
2/19/2025 9:00 AM,0.1
2/19/2025 11:19 AM,0.2
2/19/2025 1:00 PM,0.03
2/19/2025 2:33 PM,1
2/19/2025 5:28 PM,0.68
2/19/2025 8:38 PM,0.68
2/19/2025 11:51 PM,0.68
2/20/2025 1:11 AM,0.68
2/20/2025 5:07 AM,0.68
2/20/2025 7:26 AM,0.68
2/20/2025 9:40 AM,0.68
2/20/2025 10:39 AM,0.2
2/20/2025 2:00 PM,0.68
2/20/2025 4:28 PM,0.68
2/20/2025 6:30 PM,0.68
2/20/2025 9:27 PM,0.68
2/21/2025 12:30 AM,0.68
2/21/2025 1:45 AM,0.1
2/21/2025 2:09 AM,0.68
2/21/2025 5:55 AM,0.68
2/21/2025 9:15 AM,0.68
2/21/2025 10:43 AM,0.68
2/21/2025 11:45 AM,0.34
2/21/2025 3:23 AM,0.68
2/21/2025 6:38 AM,0.68
2/21/2025 9:05 PM,0.68
2/21/2025 11:00 PM,0.68
2/22/2025 12:30 AM,0.51
2/22/2025 3:15 AM,0.68
2/22/2025 6:22 AM,0.68
2/22/2025 9:25 AM,0.68
2/22/2025 10:15 AM,0.51
2/22/2025 1:30 PM,0.68
2/22/2025 3:30 PM,0.68
2/22/2025 5:30 PM,0.68
2/22/2025 6:30 PM,0.68
2/22/2025 7:30 PM,0.68
2/22/2025 10:22 PM,0.68
2/23/2025 1:34 AM,0.68
2/23/2025 3:08 AM,0.68
2/23/2025 3:30 AM,0.68
2/23/2025 6:40 AM,0.68
2/23/2025 8:50 AM,0.68
2/23/2025 10:45 AM,0.68
2/23/2025 11:00 AM,0.68
2/23/2025 12:15 PM,0.68
2/23/2025 2:00 PM,1
2/23/2025 4:15 PM,0.68
2/23/2025 4:30 PM,1.5
2/23/2025 5:55 PM,0.68
2/23/2025 6:20 PM,2
2/23/2025 8:45 PM,0.68
2/23/2025 9:30 PM,1
2/24/2025 12:50 PM,1.5
2/24/2025 2:05 AM,0.68
2/24/2025 5:30 AM,1.5
2/24/2025 6:00 AM,0.68
2/24/2025 8:53 AM,0.68
2/24/2025 9:20 AM,1.5
2/24/2025 11:25 AM,0.68
2/24/2025 11:52 AM,1
2/24/2025 2:45 PM,0.68
2/24/2025 3:30 PM,1.5
2/24/2025 5:15 PM,0.68
2/24/2025 5:40 PM,2
2/24/2025 7:10 PM,1
2/24/2025 10:15 PM,1.5
2/25/2025 2:15 AM,2
2/25/2025 5:45 AM,0.68
2/25/2025 6:05 AM,1
2/25/2025 9:00 AM,1
2/25/2025 12:15 PM,1
2/25/2025 3:30 PM,0.68
2/25/2025 3:55 PM,1
2/25/2025 4:45 PM,0.68
2/25/2025 6:43 PM,0.68
2/25/2025 7:15 PM,1
2/25/2025 8:30 PM,0.68
2/26/2025 12:15 AM,1.5
2/26/2025 3:20 AM,2
2/26/2025 6:15 AM,1
2/26/2025 9:25 AM,1
2/26/2025 12:30 PM,0.51
2/26/2025 3:15 PM,0.68
2/26/2025 3:30 PM,2
2/26/2025 4:30 PM,0.68
2/26/2025 6:00 PM,1
2/26/2025 8:15 PM,1
2/26/2025 9:15 PM,2
2/27/2025 1:45 AM,2
2/27/2025 5:30 AM,2
2/27/2025 6:15 AM,0.68
2/27/2025 8:45 AM,1
2/27/2025 11:45 PM,1
2/27/2025 2:30 PM,1
2/27/2025 4:45 PM,1
2/27/2025 6:15 PM,2
2/27/2025 6:30 PM,0.68
2/27/2025 8:45 PM,0.68
2/28/2025 12:30 AM,3
2/28/2025 4:10 AM,2
2/28/2025 4:50 AM,1
2/28/2025 8:00 AM,1
2/28/2025 10:35 AM,0.68
2/28/2025 12:00 PM,1
2/28/2025 1:00 PM,2
2/28/2025 4:05 PM,0.68
2/28/2025 4:25 PM,0.68
2/28/2025 7:30 PM,0.68
2/28/2025 7:50 PM,1
2/28/2025 8:45 PM,1
3/1/2025 12:15 AM,2
3/1/2025 4:40 AM,3
3/1/2025 7:10 AM,0.68
3/1/2025 7:30 AM,1.5
3/1/2025 9:55 AM,0.68
3/1/2025 10:25 AM,2
3/1/2025 1:25 PM,1
3/1/2025 2:30 PM,1
3/1/2025 3:00 PM,3
3/1/2025 3:40 PM,1
3/1/2025 4:40 PM,0.68
3/1/2025 6:10 PM,1.75
3/1/2025 9:00 PM,2
3/1/2025 9:20 PM,0.68
3/2/2025 12:15 AM,2.5
3/2/2025 3:25 AM,3
3/2/2025 6:00 AM,1
3/2/2025 9:45 AM,1
3/2/2025 11:30 AM,0.68
3/2/2025 2:30 PM,0.68
3/2/2025 3:00 PM,1.5
3/2/2025 4:10 PM,0.68
